Período,Tipo de vehículo,Combustible,Unidades
2010,Otros vehículos ,Resto de tipos de combustibles,81
2010,Turismos ,Gasóleo,68070
2010,Autobuses ,Resto de tipos de combustibles,0
2010,Remolques y semirremolques ,Resto de tipos de combustibles,479
2010,Turismos ,Resto de tipos de combustibles,27
2011,Camiones y furgonetas ,Gasolina,1406
2011,Autobuses ,Gasolina,2
2011,Motocicletas ,Gasóleo,8
2011,Otros vehículos ,Gasóleo,548
2011,Motocicletas ,Gasolina,5140
2011,Autobuses ,Gasóleo,127
2011,Remolques y semirremolques ,Gasóleo,0
2011,Otros vehículos ,Gasolina,194
2011,Camiones y furgonetas ,Gasóleo,36251
2011,Remolques y semirremolques ,Gasolina,0
2011,Tractores industriales ,Gasóleo,169
2011,Tractores industriales ,Gasolina,2
2011,Turismos ,Gasolina,29272
2011,Tractores industriales ,Resto de tipos de combustibles,0
2011,Camiones y furgonetas ,Resto de tipos de combustibles,14
2011,Motocicletas ,Resto de tipos de combustibles,10
2011,Otros vehículos ,Resto de tipos de combustibles,73
2011,Turismos ,Gasóleo,86887
2011,Autobuses ,Resto de tipos de combustibles,0
2011,Remolques y semirremolques ,Resto de tipos de combustibles,486
2011,Turismos ,Resto de tipos de combustibles,37
2012,Camiones y furgonetas ,Gasolina,1285
2012,Autobuses ,Gasolina,1
2012,Motocicletas ,Gasóleo,7
2012,Otros vehículos ,Gasóleo,517
2012,Motocicletas ,Gasolina,5282
2012,Autobuses ,Gasóleo,131
2012,Remolques y semirremolques ,Gasóleo,0
2012,Otros vehículos ,Gasolina,182
2012,Camiones y furgonetas ,Gasóleo,35060
2012,Remolques y semirremolques ,Gasolina,0
2012,Tractores industriales ,Gasóleo,140
2012,Tractores industriales ,Gasolina,2
2012,Turismos ,Gasolina,27558
2012,Tractores industriales ,Resto de tipos de combustibles,0
2012,Camiones y furgonetas ,Resto de tipos de combustibles,32
2012,Motocicletas ,Resto de tipos de combustibles,14
2012,Otros vehículos ,Resto de tipos de combustibles,82
2012,Turismos ,Gasóleo,84135
2012,Autobuses ,Resto de tipos de combustibles,0
2012,Remolques y semirremolques ,Resto de tipos de combustibles,511
2012,Turismos ,Resto de tipos de combustibles,44
2013,Camiones y furgonetas ,Gasolina,1216
2013,Autobuses ,Gasolina,0
2013,Motocicletas ,Gasóleo,7
2013,Otros vehículos ,Gasóleo,513
2013,Motocicletas ,Gasolina,5432
2013,Autobuses ,Gasóleo,123
2013,Remolques y semirremolques ,Gasóleo,0
2013,Otros vehículos ,Gasolina,183
2013,Camiones y furgonetas ,Gasóleo,33344
2013,Remolques y semirremolques ,Gasolina,0
2013,Tractores industriales ,Gasóleo,152
2013,Tractores industriales ,Gasolina,1
2013,Turismos ,Gasolina,27039
2013,Tractores industriales ,Resto de tipos de combustibles,0
2013,Camiones y furgonetas ,Resto de tipos de combustibles,163
2013,Motocicletas ,Resto de tipos de combustibles,18
2013,Otros vehículos ,Resto de tipos de combustibles,91
2013,Turismos ,Gasóleo,83205
2013,Autobuses ,Resto de tipos de combustibles,0
2013,Remolques y semirremolques ,Resto de tipos de combustibles,510
2013,Turismos ,Resto de tipos de combustibles,47
